normal_tamil,theni_tamil
டாக்டரை பார்க்கப் போகணும்னு ஞாபகப்படுத்துங்க,டாக்டர் கிட்டப் போகணும்னு எனக்கு ஞாபகம் பண்ணுங்க
காலையில வாக்கிங் போக ஞாபகப்படுத்துங்க,காலையில நடைப்பயிற்சிக்குப் போக ஞாபகம் பண்ணுங்க
சாமி கும்பிடுற டைமை ஞாபகப்படுத்துங்க,சாமி கும்பிடணும்னு ஞாபகம் பண்ணுங்க
டிவி புரோகிராம் பார்க்க ஞாபகப்படுத்துங்க,டிவியில அந்த புரோகிராம் வரும்னு ஞாபகம் பண்ணுங்க
வீட்டுக்கு போன் பண்ண ஞாபகப்படுத்துங்க,வீட்டுக்கு ஒரு போன் அடிக்கணும்னு ஞாபகம் பண்ணுங்க
பிறந்தநாளை ஞாபகப்படுத்துங்க,பிறந்தநாளை ஞாபகம் பண்ணி விடுங்க
ஸ்மார்ட்போன் எப்படி யூஸ் பண்றதுன்னு சொல்லித் தாங்க,இந்த டச் போனை எப்புடிப் பயன்படுத்துறது
வாட்ஸ்அப் எப்படி யூஸ் பண்ணனும்,வாட்ஸ்அப்ல மெசேஜ் போடுறது எப்புடி
வீடியோ கால் பண்ணுங்கற ஸ்டெப்ஸ்சொல்லுங்க,வீடியோவுல முகம் பார்த்துப் பேசுறது எப்புடி
இன்டர்நெட் சேஃப்டி டிப்ஸ் குடுங்க,இன்டர்நெட்ல பாதுகாப்பா இருக்கிறது எப்புடி
ஆன்லைன் ஏமாத்துக்காரங்க கிட்ட இருந்து எப்படி தப்பிக்கிறது,ஆன்லைன் திருட்டுப் பயலுவ கிட்ட ஜாக்கிரதையா இருக்க வழிசொல்லுங்க
யுபிஐ எப்படி யூஸ் பண்ணனும்,போன் மூலமா காசு அனுப்புற அந்த யுபிஐ-யை எப்புடிப் பயன்படுத்துறது
மெடிக்கல் ரிப்போர்ட்டை விளக்குங்க,டாக்டர் கொடுத்த அந்த ரிப்போர்ட்டை விளக்குங்க
மருந்தை எப்படி யூஸ் பண்ணனும்னுசொல்லுங்க,மாத்திரையை எப்புடிப் பயன்படுத்தணும்னுசொல்லுங்க
சாப்பாட்டுல எதெல்லாம் இருக்கணும்,சாப்பாட்டுல என்னென்ன சத்து இருக்கணும்
பெரியவங்களுக்கான எக்சர்சைஸ்சொல்லுங்க,வயசானவங்க செய்யுற மாதிரி லேசான உடற்பயிற்சிசொல்லுங்க
தண்ணி குடிக்க ஞாபகப்படுத்துங்க,தண்ணி முழுங்கணும்னு (குடிக்கணும்னு) ஞாபகம் பண்ணுங்க
டூர் போக பிளான் பண்ணுங்க,சுற்றுலா போக ஒரு திட்டம் போடுங்க
ட்ரெயின் டிக்கெட் புக் பண்ண ஸ்டெப்ஸ்சொல்லுங்க,ரயில்ல போக டிக்கெட் எடுக்க வழிசொல்லுங்க
சீனியர் சிட்டிசனுக்கு என்னென்ன சலுகை இருக்கு,நம்ம வீட்டுப் பெரியவங்களுக்கு கவர்மெண்ட்ல என்னென்ன விட்டுக்கொடுக்குறாங்க
ஒரு சாதாரண லெட்டர் ஒன்னு எழுதுங்க,வெள்ளந்தியா ஒரு லெட்டர் தட்டி விடுங்க
ஈஸியான மொழியில திரும்ப எழுதுங்க,புரியுற மாதிரி மறுக்கா லேசா எழுதுங்க
இங்கிலீஷ்ல இருக்குறதை தமிழுக்கு மாத்துங்க,வெள்ளைக்கார பாஷைய நம்ம தமிழுக்கு மாத்திக் குடுங்க
தமிழ்ல இருக்குறதை இங்கிலீஷுக்கு மாத்துங்க,நம்ம தமிழை வெள்ளைக்கார பாஷைக்கு மாத்தி விடுங்க
இந்த வார்த்தைக்கு என்ன அர்த்தம்னுசொல்லுங்க,இந்தச்சொல்லுங்கக்கு என்ன பொருள்னுசொல்லுங்க
மரியாதையா ஒரு மெசேஜ் எழுதி குடுங்க,கொஞ்சம் பணிவா ஒரு மெசேஜ் தட்டி விடுங்க
நியூஸை ஈஸியாசொல்லுங்க,ஊர்ல உலகத்துல என்ன நடக்குதுனு மொக்கையாச்சொல்லுங்கப்பு
அரசு ஸ்கீம் பத்திசொல்லுங்க,கவர்மெண்ட்ல காசு வர்ற மாதிரி என்னென்ன திட்டம் இருக்கு
தோட்டம் வளர்க்க சின்ன டிப்ஸ் குடுங்க,வீட்ல ரெண்டு செடி கொடிய நட்டு வைக்க சின்னதா டிப்ஸ் கொடுங்க
ஆன்மீக புத்தகங்கள சுருக்கமாசொல்லுங்க,நம்ம சாமி புஸ்தகத்துல என்ன சொல்லியிருக்குனு மொக்கையாச்சொல்லுங்க
தன்னம்பிக்கை தரக்கூடிய வரிகள் / வாசகங்கசொல்லுங்க,மனசுக்குத் தெம்பைத் தர்ற மாதிரி நாலு வார்த்தைச்சொல்லுங்க
ஞாபக சக்தி கூட்ட டிப்ஸ்சொல்லுங்க,எத வச்சாலும் மறந்து போகுது ஞாபகம் வச்சுக்க ஏதாச்சும்சொல்லுங்க
மைண்டை ஆக்டிவா வெச்சுக்க என்னென்ன பண்ணலாம்,மூளைக்கு வேலை குடுங்கக்குற மாதிரி என்னென்ன செய்யலாம்
ரிமைண்டர் செட் பண்றதுக்கு ஹெல்ப் பண்ணுங்க,இத ஞாபகப்படுத்த ஒரு அலாரம் வச்சுக்குடுங்க
ஒரு செக்லிஸ்ட் ரெடி பண்ணித் தாங்க,செய்ய வேண்டிய வேலையை வரிசையா ஒரு லிஸ்ட் போடுங்க
நோட்ஸ் எடுக்க ஹெல்ப் பண்ண முடியுமா,முக்கியமான மேட்டரை மட்டும் கொஞ்சம் குறிப்பு எடுத்துக்குடுங்க
சாதாரண தமிழ்,தேனி வட்டார வழக்கு
மருத்துவ பில்லிங் விளக்கம்,ஆஸ்பத்திரி பில்லுல என்னென்ன போட்டிருக்காங்கனு விவரமாச்சொல்லுங்கறது
மருத்துவமனைக் கட்டணங்களைப் புரிந்துகொள்வது,ஆஸ்பத்திரி கட்டணத்த எப்புடி கணக்குப்போடுறாங்கனு தெரிஞ்சுக்கிறது
பொதுவான மற்றும் வணிகப் பெயர் மருந்துகள் வேறுபாடு,கம்பெனி பேரு வச்ச மருந்துக்கும் சாதாரண மருந்துக்கும் என்ன வித்தியாசம்
மருந்து பாதுகாப்பு குறிப்புகள்,மருந்து மாத்திரைய எப்புடிப் பத்திரமா கையாளணும்
லேபிள்களைப் படிப்பதன் முக்கியத்துவம்,மருந்து டப்பால ஒட்டியிருக்கிற சீட்டை ஏன் கண்டிப்பா படிக்கணும்
மருந்து சேமிப்பு வழிகாட்டுதல்கள்,மருந்தைக் கண்ட இடத்துல வைக்காம எப்புடிப் பத்திரப்படுத்துறது
நோய் எதிர்ப்பு மருந்து விழிப்புணர்வு,கிருமிநாசினி மருந்து பத்தித் தெரிஞ்சுக்கங்க
ஏன் சுயமாக மருந்து எடுத்துக்கொள்ளக் கூடாது,டாக்டரக் கேக்காம நீங்களா ஏன் கண்ட மாத்திரைய முழுங்கக் கூடாது
மருந்துகளுக்கு இடையேயான வினை விழிப்புணர்வு,ஒரு மருந்து இன்னொரு மருந்தோட சேர்ந்து வினை புரியுறதப் பத்தித் தெரிஞ்சுக்கங்க
பக்க விளைவுகள் குறித்த விழிப்புணர்வு,மருந்து சாப்பிட்டா வர்ற அந்த ஒவ்வாமை (சைடு எஃபெக்ட்) பத்தித் தெரிஞ்சுக்கிறது
முதியோர் பராமரிப்பு அடிப்படைகள்,வீட்ல இருக்கிற பெரியவங்கள எப்புடிப் பாத்துக்கணும்
பராமரிப்பாளர்களுக்கான ஆதரவு குறிப்புகள்,நோயாளியப் பாத்துக்குறவங்களுக்குச் சில ஐடியாக்கள்
வீட்டுப் பராமரிப்பு அடிப்படைகள்,வீட்டுக்குள்ளேயே வச்சு வைத்தியம் பார்க்குற முறை
படுக்கையில் இருக்கும் நோயாளி பராமரிப்பு,படுத்த படுக்கையா இருக்கிறவங்கள ஒரு கஷ்டமும் இல்லாம பாத்துக்கிறது எப்புடி
நடமாட்ட உதவி குறிப்புகள்,நடக்க முடியாம இருக்கிறவங்களுக்கு எப்புடி ஒத்தாசை பண்ணுங்கறது
வீட்டில் கீழே விழுவதைத் தடுக்கும் முறைகள்,வயசானவங்க தரிக்கிக் கீழே விழாம இருக்க என்ன பண்ணலாம்
வீட்டுப் பாதுகாப்பு சரிபார்ப்புப் பட்டியல்,வீடு பாதுகாப்பா இருக்கான்னு ஒரு லிஸ்ட் போட்டுப் பாருங்க
குளியலறை பாதுகாப்பு குறிப்புகள்,பாத்ரூம்ல வழுக்கி விடாம இருக்கச் சில பாதுகாப்பு வழிகள்
முதியவர்களுக்கான ஊட்டச்சத்து,பெரியவங்க உடம்புக்குத் தெம்பா என்னென்ன சாப்பிடணும்
முதியவர்களுக்கான நீர்ச்சத்து,பெரியவங்க உடம்புல தண்ணிச் சத்து குறையாமப் பாத்துக்கங்க
குழந்தைகள் நல விழிப்புணர்வு,புள்ளைங்க ஆரோக்கியத்தைப் பத்தித் தெரிஞ்சுக்கிறது
வளர்ச்சி கண்காணிப்பு விளக்கம்,புள்ளைங்க சரியா வளருதான்னு நோட்டம் விடுறது
விளையாட்டின் முக்கியத்துவம்,புள்ளைங்க ஏன் ஓடி ஆடி விளையாடணும்னு தெரிஞ்சுக்கங்க
குழந்தைகளுக்கான திரைப் பயன்பாட்டு நேரம்,புள்ளைங்க எவ்வளவு நேரம் போன் பொட்டியப் பாக்கலாம்
பள்ளி சுகாதாரத் திட்டங்கள்,பள்ளிக்கூடத்துல சொல்லிக்கொடுக்கிற ஆரோக்கிய விஷயங்கள்
இளம்பருவ சுகாதார விழிப்புணர்வு,சிறுசுகள் வயசுக்கு வரும்போது வர்ற மாற்றங்கள் பத்தித் தெரிஞ்சுக்கங்க
பருவமடைதல் கல்வி அடிப்படைகள்,வயசுக்கு வர்றது பத்தி விவரமாச்சொல்லுங்கறது
மாதவிடாய் சுகாதார விழிப்புணர்வு,பொட்டப்புள்ளைங்க அந்த நேரத்துல எப்புடிச் சுத்தப்பத்தமா இருக்கணும்
தனிநபர் சுகாதாரக் கல்வி,நம்மள நாமளே எப்புடிச் சுத்தமா வச்சுக்கிறது
சுகாதாரக் கல்வியின் முக்கியத்துவம்,ஆரோக்கியமா இருக்கிறது ஏன் முக்கியம்னு தெரிஞ்சுக்கங்க
சுற்றுச்சூழல் சுகாதார விழிப்புணர்வு,நம்ம ஊரையும் சுற்றுப்புறத்தையும் சுத்தமா வச்சுக்கங்க
காற்று மாசுபாட்டின் சுகாதார விளைவுகள்,காத்து கெட்டுப்போனா உடம்புக்கு என்னென்ன வரும்
நீர் பாதுகாப்பு விழிப்புணர்வு,தண்ணியப் பத்திரமாப் பாதுகாக்கிறது எப்புடி
கழிவு மேலாண்மை சுகாதார பாதிப்பு,குப்பை மேலாண்மை சரியில்லைனா என்னென்ன நோய் வரும்
ஒலி மாசு விளைவுகள்,சத்தம் அதிகமா இருந்தா காதுக்கு என்ன ஆகும்
காலநிலை மாற்றம் மற்றும் ஆரோக்கியம்,இந்த வானிலை மாற்றத்தால உடம்புக்கு என்ன வரும்
வெப்ப அலை முன்னெச்சரிக்கைகள்,வெயில் கொடுமையில இருந்து எப்புடித் தப்பிக்கிறது
மழைக்கால சுகாதார முன்னெச்சரிக்கைகள்,மழை நேரத்துல வர்ற காய்ச்சல் சளியில இருந்து எப்புடித் தப்பிக்கிறது
பயண ஆரோக்கிய குறிப்புகள்,வெளியூருக்குப் போகும்போது உடம்பைப் பாத்துக்க சில ஐடியாக்கள்
உணவு நச்சாதல் தடுப்பு,சாப்பாடு நஞ்சாப்போகாம எப்புடிப் பாத்துக்கிறது
வாழ்க்கை முறை மாற்றத்திற்கான அடிப்படைகள்,வாழ்க்கை முறையை மாத்தி ஆரோக்கியமா இருக்கிறது எப்புடி
புகைபிடித்தல் விழிப்புணர்வு,தம் அடிக்கிறது எப்புடி உடம்பைக் கெடுக்கும்னுசொல்லுங்கறது
மது அருந்துதல் விழிப்புணர்வு,குடிக்கிறதுனால வர்ற கேடுகளைப் பத்தித் தெரிஞ்சுக்கங்க
போதைப்பொருள் விழிப்புணர்வு,போதைப்பொருள் பக்கமே போகாதீங்கனுசொல்லுங்கறது
ஆரோக்கியமான பழக்கத்தை உருவாக்குதல்,நல்ல பழக்கவழக்கங்களை எப்புடி ஒட்டிக்க வைக்கிறது
ஆரோக்கியத்திற்கான இலக்கு அமைத்தல்,உடம்பைத் தேத்த ஒரு முடிவு எடுங்க
சுகாதாரப் பழக்கவழக்கங்களைக் கண்காணித்தல்,தினமும் ஆரோக்கியமா இருக்கோமானு செக் பண்ணுங்க
அணியக்கூடிய சுகாதார சாதனங்கள் மேலோட்டம்,கைல கட்டுற அந்த ஸ்மார்ட் வாட்ச் மாதிரி கருவிகள் பத்திச்சொல்லுங்க
தொலைநிலை மருத்துவம் அடிப்படைகள்,போன் மூலமா டாக்டரப் பார்த்து வைத்தியம் கேட்கிறது
டிஜிட்டல் சுகாதார பதிவுகள்,நம்ம மெடிக்கல் ரிப்போர்ட்டை போன்லயே வச்சுக்கிறது
சுகாதார செயலிகளைப் பாதுகாப்பாகப் பயன்படுத்துதல்,மெடிக்கல் ஆப்ஸை ஜாக்கிரதையாப் பயன்படுத்துங்க
இணையவழி சுகாதாரத் தகவல்களை மதிப்பிடுதல்,நெட்டுல வர்ற எல்லாத் தகவலையும் நம்பாதீங்க
தவறான சுகாதாரத் தகவல்களைத் தவிர்த்தல்,பொய்யான வைத்திய முறைகளை நம்பி ஏமாறாதீங்க
சுகாதாரத் துறையில் செயற்கை நுண்ணறிவு,மருத்துவத்துல ஏஐ எப்புடி வேலை செய்யுதுனு பாருங்க
சுகாதாரப் பாதுகாப்பில் செயற்கை நுண்ணறிவின் நன்மைகள்,ஏஐ-னால மருத்துவத்துல என்னென்ன லாபம்
சுகாதாரப் பாதுகாப்பில் செயற்கை நுண்ணறிவின் வரம்புகள்,ஏஐ-யால எதெல்லாம் முடியாதுனு தெரிஞ்சுக்கங்க
சுகாதாரத் தொழில்நுட்பத்தில் நெறிமுறைகள்,மெடிக்கல் டெக்னாலஜியை எப்புடி முறையாப் பயன்படுத்துறது
நோயாளி தரவு தனியுரிமை,நோயாளியோட விவரத்தைப் பத்திரமா ரகசியமா வச்சுக்கிறது
சுகாதாரத் துறையின் எதிர்காலம்,வர்ற காலத்துல வைத்தியம் எப்புடி இருக்கும்னு ஒரு பார்வை
சமூக சுகாதார விழிப்புணர்வு,ஊர் மக்கள் எல்லாரும் ஆரோக்கியமா இருக்கத் திட்டம் போடுங்க
சுகாதாரக் கல்வி பிரச்சாரங்கள்,ஆரோக்கியம் பத்தி ஊர் ஊராப் போய்ச்சொல்லுங்க
பொதுச் சுகாதாரத் திட்டங்கள் மேலோட்டம்,கவர்மெண்ட் போடுற ஆரோக்கியத் திட்டங்கள் பத்திச்சொல்லுங்க
பள்ளி சுகாதார விழிப்புணர்வு நிகழ்ச்சிகள்,பள்ளிக்கூடத்துல நடத்துற ஆரோக்கிய விழிப்புணர்வு
பணியிட ஆரோக்கியத் திட்டங்கள்,வேலை பார்க்குற இடத்துல உடம்பைப் பாத்துக்க ஐடியாக்கள்
தடுப்புச் சுகாதார முயற்சிகள்,நோய் வர்றதுக்கு முன்னாடியே தப்பிக்க என்ன பண்ணலாம்
சுகாதார விழிப்புணர்வு சுவரொட்டி யோசனைகள்,ஆரோக்கியம் பத்தித் துண்டுப் பிரசுரம் போட ஐடியாக்கள்
சுகாதாரப் பட்டறை தலைப்புகள்,ஆரோக்கியம் பத்தி ஒரு பயிற்சி கொடுக்கத் தலைப்புகள்
சுகாதாரக் கருத்தரங்கு உள்ளடக்க யோசனைகள்,மீட்டிங்ல ஆரோக்கியத்தைப் பத்தி என்னென்ன பேசலாம்
சமூக சுகாதார மேம்பாட்டு யோசனைகள்,நம்ம ஊரு ஆரோக்கியத்தை முன்னேத்த ஐடியாக்கள்
ஆரோக்கியமான வாழ்க்கை முறையின் சுருக்கமான குறிப்புகள்,நல்லா வாழ்றதுக்குச் சில சின்னச் சின்ன ஐடியாக்கள்
ஒரு தொழில்முறை மின்னஞ்சலை உருவாக்கவும்,ஆபீஸ்க்கு ஒரு முறையான மெயில் தட்டி விடுங்க
இந்த மின்னஞ்சலை பணிவுடன் மீண்டும் எழுதவும்,இந்த மெயிலை இன்னும் கொஞ்சம் பணிவா மரியாதையா மாத்தி எழுதுங்க
இந்த மின்னஞ்சலை இன்னும் முறைப்படுத்தவும்,மெயிலை இன்னும் கெத்தா பார்மலா மாத்துங்க
இந்த மின்னஞ்சலை சுருக்கவும்,மெயிலை ஜவ்வு மாதிரி இழுக்காம மொக்கையாச்சொல்லுங்க
பின்தொடர் மின்னஞ்சலை எழுதவும்,ஏற்கனவே அனுப்புன மெயிலுக்குப் பதில் வரலனா மறுக்கா ஒரு மெயில் போடுங்க
நினைவூட்டல் மின்னஞ்சலை எழுதவும்,ஒரு விஷயத்தை ஞாபகப்படுத்த ஒரு மெயில் தட்டி விடுங்க
விரிவாக்க மின்னஞ்சலை எழுதவும்,விஷயத்தை இன்னும் கொஞ்சம் விரிவாச் சொல்ல ஒரு மெயில்
மன்னிப்பு மின்னஞ்சல் எழுதவும்,தப்பு பண்ணிட்டா மன்னிப்பு கேட்டு ஒரு மெயில் போடுங்க
பாராட்டு மின்னஞ்சலை எழுதுங்கள்,நல்லா வேலை பார்த்தா ஒரு மெயில் தட்டிப் பாராட்டுங்க
சந்திப்பு அழைப்பிதழை எழுதுங்கள்,மீட்டிங்குக்கு எல்லாரையும் கூப்பிட ஒரு மெயில் போடுங்க
சந்திப்பு நிகழ்ச்சி நிரலை உருவாக்கவும்,மீட்டிங்ல என்னென்ன பேசப்போறோம்னு ஒரு லிஸ்ட் போடுங்க
சந்திப்பு நிமிடங்களை எழுதுங்கள்,மீட்டிங்ல என்னதான் பேசினோம்னு ஒரு அறிக்கை குடுங்க
கூட்ட விவாதத்தை சுருக்கவும்,மீட்டிங் மேட்டரை மொக்கையாச் சுருக்கிச்சொல்லுங்க
செயல் பொருட்களை பிரித்தெடுக்கவும்,மீட்டிங் முடிச்சுட்டு யார் யார் என்ன வேலை செய்யணும்னு பிரிச்சு குடுங்க
சந்திப்பிலிருந்து பணிப் பட்டியலை உருவாக்கவும்,மீட்டிங்ல சொன்ன வேலைய ஒரு பட்டியலாப் போடுங்க
சந்திப்பு அஞ்சலைத் திட்டமிடவும்,மீட்டிங் பத்தி முன்னாடியே ஒரு மெயில் போட்டு வைங்க
மீட்டிங் மின்னஞ்சலை மீண்டும் திட்டமிடுங்கள்,மீட்டிங் நேரத்தை மாத்தி வச்சு ஒரு மெயில் போடுங்க
சந்திப்பு மின்னஞ்சலை ரத்துசெய்,மீட்டிங் வேணாம்னு கேன்சல் பண்ணி ஒரு மெயில் தட்டுங்க
சந்திப்புக் குறிப்புகளைத் தயாரிக்கவும்,மீட்டிங்குக்குத் தேவையான பாயிண்ட்ஸை ரெடி பண்ணுங்க
மீட்டிங் தொடர் செய்தி,மீட்டிங் முடிஞ்சதும் அது சம்பந்தமா ஒரு செய்தி அனுப்புங்க
வரைவு அலுவலக சுற்றறிக்கை,ஆபீஸ்ல எல்லாத்துக்கும் ஒரு அறிவிப்பு ரெடி பண்ணுங்க
உள் குறிப்பை எழுதவும்,ஆபீஸ்க்குள்ளேயே மெசேஜ் அனுப்ப ஒரு மெமோ ரெடி பண்ணுங்க
அதிகாரப்பூர்வ அறிவிப்பை எழுதுங்கள்,முறைப்படி ஒரு அறிவிப்பை வெளியிடுங்க
கொள்கை அறிவிப்பை எழுதுங்கள்,ஆபீஸ் ரூல்ஸை அறிவிப்பா போடுங்க
எளிய வார்த்தைகளில் கொள்கையை மீண்டும் எழுதவும்,கடுமையான ரூல்ஸை புரியுற மாதிரி லேசாச்சொல்லுங்க
நிறுவனத்தின் கொள்கையை விளக்கு,நம்ம கம்பெனி ரூல்ஸ் என்னனு புரிய வைங்க
வரைவு அலுவலக வழிகாட்டுதல்கள்,ஆபீஸ்ல எப்புடி நடந்துக்கணும்னு ஒரு வழிகாட்டி ரெடி பண்ணுங்க
நிலையான செயல்பாட்டு நடைமுறை (SOP) ஆவணத்தைத் தயாரிக்கவும்,ஒரு வேலையை எப்புடிச் செய்யணும்னு ஒரு படிநிலை ரெடி பண்ணுங்க
நிலையான செயல்பாட்டு நடைமுறை தெளிவை மேம்படுத்தவும்,அந்த எஸ்பிஓ மேட்டரை இன்னும் தெளிவாக்குங்க
நிலையான செயல்பாட்டு நடைமுறையை சரிபார்ப்புப் பட்டியலாக மாற்றவும்,வேலையை எப்புடிச் செய்யணும்னு ஒரு செக்லிஸ்ட்டா மாத்துங்க
அலுவலக சரிபார்ப்பு பட்டியலை உருவாக்கவும்,ஆபீஸ்ல செய்ய வேண்டிய வேலைய ஒரு லிஸ்ட் போடுங்க
தினசரி வேலை அறிக்கை வடிவம்,தினமும் என்ன வேலை பார்த்தோம்னு சொல்ல ஒரு மாடல் குடுங்க
வாராந்திர நிலை அறிக்கை,இந்த வாரம் எவ்வளவு வேலை முடிஞ்சிருக்குனு ஒரு ரிப்போர்ட் குடுங்க
மாதாந்திர செயல்திறன் அறிக்கை,இந்த மாசம் நம்ம வேலை எப்புடி இருந்திருக்குனு ஒரு அறிக்கை
நீண்ட அறிக்கையை சுருக்கவும்,பெரிய ரிப்போர்ட்டை மொக்கையாச் சுருக்கிக்குடுங்க
அறிக்கையை புல்லட் புள்ளிகளாக மாற்றவும்,ரிப்போர்ட்டை வரிசைப்படி பாயிண்ட்ஸா மாத்துங்க
நிர்வாக சுருக்கத்தை உருவாக்கவும்,முக்கியமான மேட்டரை மட்டும் சுருக்கமாச்சொல்லுங்க
முக்கிய புள்ளிகளை முன்னிலைப்படுத்தவும்,முக்கியமான சங்கதிய மட்டும் தனியா எடுத்துக் காட்டுங்க
அறிக்கையில் உள்ள அபாயங்களை அடையாளம் காணவும்,ரிப்போர்ட்ல என்ன சிக்கல் இருக்குனு கண்டுபிடிங்க
மேம்பாடுகளை பரிந்துரைக்கவும்,வேலையை இன்னும் பெட்டராக்க ஐடியாசொல்லுங்க
விடுப்பு விண்ணப்பத்தைத் தயாரிக்கவும்,லீவு லெட்டர் ஒன்னு ரெடி பண்ணுங்க
விடுப்பு மின்னஞ்சல் பதிலை அங்கீகரிக்கவும்,லீவு கேட்டா அதுக்குச் சரி ஓகேனு ஒரு மெயில் போடுங்க
பணிவுடன் விடுப்பை நிராகரிக்கவும்,லீவு தர முடியாதுனு கொஞ்சம் மரியாதையாச்சொல்லுங்க
வீட்டிலிருந்து பணிக்கான வரைவு கோரிக்கை,வீட்ல இருந்து வேலை பார்க்க ஒரு மெயில் தட்டுங்க
வரைவு வீட்டிலிருந்து பணிக்கான ஒப்புதல் அஞ்சல்,வீட்ல இருந்து வேலை பார்க்க சம்மதம் சொல்லி ஒரு மெயில் போடுங்க
வருகை விளக்க மின்னஞ்சல்,ஏன் லேட்டா வந்தோம்னு ஒரு விளக்கம் குடுங்க
தாமதமாக வரும் விளக்கம்,லேட்டா வர்றதுக்கு என்ன காரணம்னு ஒரு மெயில் தட்டுங்க
வராததற்கான விளக்கம்,ஏன் ஆபீஸ்க்கு வரலனு ஒரு விளக்கம்சொல்லுங்க
வரைவு சுருக்க கோரிக்கை,விஷயத்தைச் சுருக்கமாச் சொல்லக் கேளுங்க
விடுமுறை அறிவிப்பு,ஆபீஸ்க்கு லீவுனு ஒரு மெசேஜ் போடுங்க
மனிதவள மின்னஞ்சல் மாதிரியை உருவாக்கவும்,எச்ஆர் அனுப்புற மாதிரி ஒரு மெயில் மாடல் ரெடி பண்ணுங்க
வரைவு பணியாளர் சேர்ப்பு மின்னஞ்சல்,புதுசா வேலைக்கு ஆள் எடுக்குற மெயிலைத் தயார் பண்ணுங்க
புதிய பணியாளருக்கான வரவேற்பு மின்னஞ்சல்,புதுசா வந்த ஆளை வரவேற்று ஒரு மெயில் போடுங்க
வெளியேறும் செயல்முறை மின்னஞ்சல்,வேலையை விட்டுப் போகும்போது என்ன பண்ணணும்னு ஒரு மெயில்
விடுவிப்பு கடித வரைவு,வேலையில இருந்து ரிலீவிங் ஆர்டர் ஒன்னு ரெடி பண்ணுங்க
அனுபவம் சான்றிதழ் உள்ளடக்கம்,எக்ஸ்பீரியன்ஸ் சர்டிபிகேட்ல என்ன போடணும்னுசொல்லுங்க
வேலை வாய்ப்பு கடித வடிவம்,வேலை கிடைச்சிருக்குனுசொல்லுங்கற அந்த ஆஃபர் லெட்டர் மாடல்
நியமனக் கடிதத்தின் உள்ளடக்கம்,அப்பாயின்ட்மென்ட் லெட்டர்ல என்னென்ன இருக்கணும்
பதவி உயர்வு அறிவிப்பு,புரொமோஷன் வந்தாச்சுனு ஒரு சேதிசொல்லுங்க
பணி இடமாற்ற ஆணை வரைவு,டிரான்ஸ்பர் ஆர்டர் ஒன்னு ரெடி பண்ணுங்க
பணியாளர் பதிவு வடிவத்தைத் தயார் செய்யவும்,ஸ்டாஃப் விவரத்தை ஏத்த ஒரு பார்ம் ரெடி பண்ணுங்க
பணியாளர் தரவுத்தளத்தைப் பராமரிக்கவும்,ஸ்டாஃப் விவரத்தை எல்லாம் பத்திரமா அடுக்கி வைங்க
பணியாளர் விவரங்களை புதுப்பிக்கவும்,ஸ்டாஃப் விவரத்தை அப்பப்ப அப்டேட் பண்ணுங்க
அலுவலக கோப்புகளை ஒழுங்கமைக்கவும்,ஆபீஸ் பைல்களை எல்லாம் வரிசையா அடுக்கி வைங்க
கோப்பு பெயரிடும் முறையை உருவாக்கவும்,பைல்களுக்கு எப்புடிப் பேர் வைக்கணும்னு ஒரு ஐடியா குடுங்க
ஆவணப் பதிப்பு கட்டுப்பாடு,பைல்ல பண்ற மாற்றங்களை எப்புடிச் சேமிக்கிறது
பழைய ஆவணங்களை காப்பகப்படுத்தவும்,பழைய பைல்களை எல்லாம் தனியா ஒரு ஓரமா எடுத்து வைங்க
ஆவணக் குறியீட்டை உருவாக்கவும்,பைல்களைக் கண்டுபிடிக்க ஒரு குறியீடு போடுங்க
காகித ஆவணங்களை டிஜிட்டல் ஆவணங்களாக மாற்றவும்,பேப்பர்ல இருக்கிறத கம்ப்யூட்டருக்கு மாத்துங்க
கோப்புகளை ஸ்கேன் செய்து ஒழுங்கமைக்கவும்,பைல்களை ஸ்கேன் பண்ணி நீட்டா அடுக்கி வைங்க
வேர்டு ஆவண வடிவமைப்பு,வேர்டு பைலை அம்சமா மாத்துங்க
வேர்டிலிருந்து பிடிஎஃப் ஆக மாற்று,வேர்டு பைலை பிடிஎஃப்-ஆ மாத்தி விடுங்க
பிடிஎஃப் இலிருந்து வேர்டுக்கு மாற்று,பிடிஎஃப்-ஐ வேர்டு பைலா மாத்துங்க
பிடிஎஃப் கோப்புகளை ஒன்றிணைக்கவும்,சிதறி இருக்கிற பிடிஎஃப் பைல்களை ஒன்னா ஒட்டி விடுங்க
பிடிஎஃப் பக்கங்களைப் பிரிக்கவும்,பிடிஎஃப் பக்கங்களைப் பாதியா வெட்டி விடுங்க
பிடிஎஃப் கோப்பை சுருக்கவும்,பிடிஎஃப் பைல் சைஸைக் கொஞ்சம் குறைச்சுக்குடுங்க
ஆவணத்தில் நீர்க்குறி சேர்க்கவும்,பேப்பருக்கு அடியில கம்பெனி பேரை லேசாத் தெரியுற மாதிரி வைங்க
தலைப்பு மற்றும் அடிக்குறிப்பைச் சேர்க்கவும்,பேப்பருக்கு மேலேயும் கீழேயும் மேட்டரைச் சேருங்க
லெட்டர்ஹெட் உருவாக்கவும்,கம்பெனி லெட்டர் பேடு ஒன்னு ரெடி பண்ணுங்க
