theni_tamil,normal_tamil
இந்த வாய்ப்ப நான் நல்லபடியா பயன்படுத்திக்கிறேன் ,நான் இந்த வாய்ப்பை பயன்படுத்திக் கொள்கிறேன்
இந்தச் சாமானைக் கொஞ்சம் பத்திரமா எடுத்துட்டுப் போங்க,தயவு செய்து இந்த பொருளை கவனமாக கையாளுங்கள்
வண்டியில எண்ணெய் தீந்துப் போச்சுப்பா,எனது கார் எரிபொருள் தீர்ந்துவிட்டது
இந்த புது யோசனை எல்லாத்துக்கும் நல்லதுதான்,இந்த புதிய திட்டம் அனைவருக்கும் நன்மை பயக்கும்
அவரு நேரத்த வீணாக்காம நடப்பார்ப்பா,அவர் தனது நேரத்தை மதிக்கிறார்
எனக்கு இந்தத் தடம் வழியாப் போகணும்னு ஆசைப்பா,நான் இந்த வழியில் செல்ல விரும்புகிறேன்
இந்த வகுப்பு தினுசும் நடக்கும்ப்பா,இந்த வகுப்பு நாள்தோறும் நடைபெறும்
இந்த அன்பளிப்ப வாங்கிக்கங்கப்பா,தயவு செய்து இந்த பரிசை ஏற்றுக்கொள்ளுங்கள்
எனக்கு இந்தப் புஸ்தகம் ரொம்பப் புடிச்சுருக்குது,எனக்கு இந்த புத்தகம் மிகவும் பிடித்திருக்கிறது
அவரு வேலையிலேயே கண்ணும் கருத்துமா இருக்காருப்பா,அவர் தனது வேலையில் முழுமையாக ஈடுபட்டிருக்கிறார்
நீங்க சொன்ன யோசனை ரொம்ப ஒதவியா இருக்குமப்பு,இந்த ஆலோசனை மிகவும் பயனுள்ளதாக இருக்கும்
நான் இந்தச் சண்டைய முடிச்சு வைக்கணும்ப்பா,நான் இந்த தகராறை தீர்க்க விரும்புகிறேன்
இங்கிட்டுப் புகை பிடிக்க வேணாம்ப்பா,தயவு செய்து இந்த இடத்தில் புகைபிடிக்க தவிர்க்கவும்
எங்கணினியில கொஞ்சம் கோளாறு இருக்குது,எனது கணினியில் பிரச்சனை உள்ளது
இந்தக் கட்டுப்பாட்டைச் சரியா கடைபிடிக்கணும்ப்பா,இந்த விதிமுறைகளை பின்பற்றுவது அவசியம்
அவரு வாழ்க்கையவே நல்லபடியா மாத்திட்டாருப்பா,அவர் தனது வாழ்க்கையை மாற்றிக் கொண்டார்
இந்த வாய்ப்ப நான் விட்ற மாட்டேன் ,நான் இந்த சந்தர்ப்பத்தை பயன்படுத்திக் கொள்கிறேன்
இந்தப் பாலம் நல்லா உறுதியா இருக்குது,இந்த பாலம் பாதுகாப்பானது
அந்தக் காகிதத்தை அங்கிட்டு அனுப்பி வையுங்கப்பா,தயவு செய்து இந்த கடிதத்தை அனுப்புங்கள்
இந்தப் பாட்டு எனக்கு ரொம்ப புடிக்கும்,எனக்கு இந்த பாடல் மிகவும் பிடிக்கும்
அவரு அவரோட வித்தைய இன்னும் வளர்த்துக்கிட்டாருப்பா,அவர் தனது திறமையை மேம்படுத்திக் கொண்டார்
சொல்லிக் குடுங்கத்தபடி கரெக்டா செய்யுங்கப்பா,இந்த வழிமுறைகளை கடைபிடியுங்கள்
எனக்கு இங்க இருக்கப் பிடிக்கலப்பா,நான் இந்த நிலையில் இருந்து வெளியேற விரும்புகிறேன்
இந்த மரம் ரொம்ப ஒசரம் பாருங்க,இந்த மரம் மிகவும் உயரமானது
இந்தச் சாமானைத் திருப்பிக் குடுங்கத்துருங்கப்பு,தயவு செய்து இந்த பொருளை திருப்பி கொடுங்கள்
எனக்குக் கொஞ்சம் விடுமுறை வேணும்ப்பா,எனக்கு இந்த விடுமுறை தேவை
அவரு அவரோட வேலையில ஜெயிச்சுப்புட்டாருப்பா,அவர் தனது பணியில் வெற்றி பெற்றார்
இந்தச் சேதி நெசமானதுப்பா,இந்த செய்தி உண்மையானது
இந்த வாய்ப்ப எக்காரணம் கொண்டும் விட்றக்கூடாது,நான் இந்த வாய்ப்பை தவற விடக்கூடாது
இந்தச் சேதிய இன்னொரு வாட்டிசொல்லுங்கப்பா,தயவு செய்து இந்த விஷயத்தை மீண்டும்சொல்லுங்கள்
எங்கணினி மறுபடியும் ஓட ஆரம்பிச்சுருச்சு,எனது கணினி மீண்டும் செயல்படுகிறது
இந்தப் பயணம் ரொம்பக் குஷியா இருக்கும்பா,இந்தப் பயணம் மிகவும் சுவாரஸ்யமாக இருக்கும்
எப்படி இருக்க சௌக்கியமா,எப்படி இருக்கீங்க
சாப்ட்டியாப்பா,சாப்டீங்களா
வீட்ல எல்லாரும் நல்லா இருக்காகளா,வீட்ல எல்லாரும் சௌக்கியமா
பாத்து எம்புட்டு நாளாச்சு!,ரொம்ப நாள் ஆச்சு பார்த்து
வாரேன்பா போயிட்டு வாரேன்,வரேன் போயிட்டு வர்றேன்
என்ன பண்ணிக்கிட்டு இருக்க,என்ன பண்றீங்க
இன்னைக்கு என்ன விசேஷம்,இன்னைக்கு என்ன பிளான்
மழை வரும் போல இருக்குதே ,மழை வரும் போல இருக்கு
வெயிலு ரொம்ப அதிகமா இருக்கு,வெயில் ரொம்ப அதிகமா இருக்கு
அப்பறம் சொல்லு வேற என்ன சேதி,அப்பாறம் சொல்லுங்க வேற என்ன விசேஷம்
மணி என்னப்பா ஆகுது,இப்ப மணி என்ன
நீ எங்க இருக்க,நீங்க எங்க இருக்கீங்க
நான் கெளம்புறேன்யா,நான் கிளம்பறேன்
சீக்கிரம் வாயேன் நேரமாகுது பாரு,சீக்கிரம் வாங்க லேட் ஆகுது
வண்டி  இன்னும் வரலப்பா,பஸ் இன்னும் வரல
எனக்கு கொஞ்சம் தண்ணி குடுப்பியா,எனக்கு கொஞ்சம் தண்ணி கிடைக்குமா
இது என்ன எம்புட்டு விலை,இது எவ்வளவு
கொஞ்சம் ஒதவி பண்ணுப்பா,கொஞ்சம் உதவி செய்ய முடியுமா
எனக்கு இது விளங்கல,எனக்கு இது புரியல
இந்த எடம் எங்க இருக்குன்னு தெரியுமா,இந்த எடம்  எங்க இருக்குனு தெரியுமா
போன்ல சார்ஜ் தீந்து போச்சுப்பா,போன் சார்ஜ் இல்ல
சிக்னல் ரொம்ப வீக்கா இருக்கு ,சிக்னல் ரொம்ப வீக்கா இருக்கு
சிக்னல் கெடைக்க மாட்டேங்குது,சிக்னல் கிடைக்கல
நான் அப்பறமா கூப்பாடுறேன்,நான் அப்பாறம் கால் பண்றேன்
லேப்டாப் ஆன் ஆக மாட்டேங்குது,லேப்டாப் ஆன் ஆகல
மெசேஜ் அனுப்பிட்டேன் பாத்துக்கோ,மெசேஜ் அனுப்பிட்டேன் பாருங்க
கடை வரைக்கும் போயிட்டு வாரேன்,கடைக்கு போயிட்டு வரேன்
தல வலிக்குதுப்பா,தலை வலிக்குது
இன்னைக்கு லீவு வேணும்யா,இன்னைக்கு லீவு வேணும்
வண்டி சாவி எங்கட்டு இருக்கு,வண்டி சாவி எங்க
இத இங்கட்டு வையுங்க,இத இங்க வைங்க
மனசுக்கு ரொம்ப சந்தோசமா இருக்குப்பா,எனக்கு ரொம்ப சந்தோஷமா இருக்கு
கோவப்படாதய விடு,கோவப்படாதீங்க விடு
பயப்படாத நான் இருக்கேன்ல பாத்துக்கலாம்,பயப்படாதீங்க நான் இருக்கேன்
இது சரிப்பட்டு வராது,இது சரி இல்ல
ஆமா நீ சொல்றது சரிதான் தான் இருக்கு,ஆமா நீங்க சொல்றது சரிதான்
நிச்சயமா செஞ்சிருவோம் ,கண்டிப்பா செஞ்சிடலாம்
எனக்கு இத புடிக்கலப்பா,எனக்கு இது பிடிக்கல
என்னால வர  முடியாது,என்னால வர முடியாது
ரொம்ப நன்றிப்பா,நன்றிங்க
பரவால்ல விடுங்கய்யா,பரவால்ல விடுங்க
இத விட கம்மியா குடுப்பியா,இதை விட கம்மியா கிடைக்குமா
சில்லறை இல்லப்பா மாத்தணும்,சில்லறை இல்ல
காபி குடிக்கலாமாப்பா,காபி குடிக்கலாமா
சாப்பாடு பிரமாதமா இருக்குப்பா!,சாப்பாடு சூப்பரா இருக்கு
எனக்கு பசிக்குது,எனக்கு பசிக்குது
உள்ள வாயேன்,உள்ள வாங்க
வந்து ஒக்காரு,வந்து உட்காரு
வெளிய காத்துட்டு இருங்க,வெளிய வெயிட் பண்ணுங்க
இத யாரு சொன்னது,இத யாரு சொன்னது
எனக்கு ஞாபகம் இல்லையே,எனக்கு ஞாபகம் இல்ல
நெசமாவா சொல்ற,நிஜமாவா சொல்றீங்க
மருந்து மாத்திரை திட்டியா,மருந்து சாப்பிட்டீங்களா
சீட்டு  எடுத்தாச்சா,டிக்கெட் எடுத்தாச்சா
வண்டி பஞ்சர் ஆயிப்போச்சுப்பா,வண்டி பஞ்சர் ஆயிடுச்சு
கூட்டமா இருக்கு வண்டி நெரியுது,டிராபிக் ரொம்ப அதிகமா இருக்கு
எப்போ வருவ,எப்ப வருவீங்க
இப்பதான் வந்தேன்,கொஞ்சம் முன்னாடி தான் வந்தேன்
நீ ஏன் வரல,நீங்க ஏன் வரல
வேலை முடிஞ்சு போச்சு,வேலை முடிஞ்சிருச்சு
மீட்டிங் எப்ப ஆரம்பிக்கும்,மீட்டிங் எப்ப ஆரம்பிக்கும்
எல்லாரும் அமைதியா போடாம இருங்கப்பா,எல்லாரும் அமைதியா இருங்க
லைட்ட போடுப்பா,லைட் போடுங்க
தண்ணி வருதான்னு பாரு,தண்ணி வருதா பாருங்க
வேற என்ன வேணும்,வேற எதாவது வேணுமா
அம்புட்டுதான்,அவ்வளவுதான்
மெதுவா பேசுப்பா,மெதுவா பேசுங்க
சத்தமா சொல்லு,சத்தமா சொல்லுங்க
கோவிச்சுக்காதீங்க மன்னிச்சிருங்க,மன்னிச்சுடுங்க
உங்களுக்கு எந்த ஊரு,நீங்க எந்த ஊர்
உங்க அய்யா என்ன பண்றாக,உங்க அப்பா என்ன பண்றாங்க
உங்க வீட்ல யாரு இருக்கா,உங்க வீட்ல யார் இருக்காங்க
கடை எப்ப தொறப்பாங்க,கடை எப்ப திறப்பாங்க
இது என்னப்பா இம்புட்டு விலை சொல்லுது,இது ரொம்ப விலை அதிகம்
வேற கலர் இருக்காப்பா,வேறு கலர் இருக்கா
எனக்கு ஒன்னும் தெரியாதுப்பா,எனக்கு ஒன்னும் தெரியாது
கொஞ்சம் தள்ளிக்கோங்க,கொஞ்சம் நகருங்க
சீக்கிரம் முடிங்கப்பா,சீக்கிரம் முடிங்க
எனக்கு தூக்கம் வருது,எனக்கு தூக்கம் வருது
சாப்பாடு ததட்டு எங்கபா,சாப்பாடு தட்டு எங்க
போன் பண்ணுங்கபா,போன் பண்ணுங்க
நம்பர குடுப்பா,நம்பர் குடுங்க
என்னமோ விசித்திரமா இருக்குது,ரொம்ப விசித்திரமா இருக்கு
இது எனக்கு தெரியலப்பா,இது எனக்கு தெரியல
உன் இஷ்டம்பா,உங்க இஷ்டம்
நேரம் போறதே தெரியலையே,நேரம் போறதே தெரியல
குளிருது,குளிருது
யாரு அங்கட்டு,யார் அங்க
சத்தம் போடாம அமைதியா இரு,அமைதியா இரு
சத்தம் போடாம இரு,சத்தம் போடாதே
வருத்தப்படாதீங்க பாத்துக்கலாம்,கவலைப்படாதீங்க
எல்லாம் நல்லபடியா நடக்கும்பா,எல்லாம் நல்லபடியா நடக்கும்
மெயிலை செக் பண்ணுங்க,மெயில் செக் பண்ணுங்க
பாஸ்வேர்ட் என்னப்பா,பாஸ்வேர்ட் என்ன
வைஃபை வேல செய்யல,வைஃபை வேலை செய்யல
ஜி-பே பண்ணலாமாப்பா,ஜி-பே பண்ணலாமா
கார்டு  வாங்குவீங்களா,கார்டு வாங்குவீங்களா
வெளிய போயிட்டு வருலாமா,வெளியே போயிட்டு வரலாமா
எனக்கு ரொம்ப புடிச்சிருக்குப்பா,எனக்கு ரொம்ப பிடிச்சிருக்கு
என்ன ஆச்சுபா,என்ன ஆச்சு
நல்லா இருப்பா,நல்லா இருங்க
என்ன சேதின்னு சொல்லுங்க,என்ன விஷயம்னு சொல்லுங்க
நான் சொன்னது விளங்குச்சா,நான் சொன்னது புரிஞ்சுதா
இங்க என்ன நடக்குது,இங்க என்ன நடக்குது
எனக்கு கொஞ்சம் டைம் வேணும்ப்பா,எனக்கு கொஞ்சம் நேரம் வேணும்
இன்னிகி என்ன சமையல்,இன்னைக்கு என்ன சமையல்
உனக்கு என்ன வேணும்,உங்களுக்கு என்ன வேணும்
நேரமாச்சு சீக்கிரம் வாயேன்,நேரம் ஆயிச்சு சீக்கிரம் வாங்க
இங்க யாரும் இல்லப்பா,இங்க யாரும் இல்ல
நீங்க எங்கிட்டு இருந்து வாரீங்க,நீங்க எங்க இருந்து வர்றீங்க
அங்கிட்டு போகாத,அங்க போகாதீங்க
வேலை எப்பாடி போகுது,வேலை எப்படி போகுது
ரொம்ப யோசனை பண்ணாத,ரொம்ப யோசிக்காதீங்க
அப்பறம் பாத்துக்கலாம் ,அப்பறம் பாத்துக்கலாம்
எல்லாம் தயாரா இருக்கா,எல்லாம் ரெடியா இருக்கா
கொஞ்சம் எட்டி நில்லுப்பா,கொஞ்சம் தள்ளி நில்லுங்க
இன்னிகி  வர லேட்டாகும்யா,இன்னைக்கு லேட்டா தான் வருவேன்
ஏன் போன எடுக்கல,போன் எடுக்கல ஏன்
மறந்துடாம வந்துரு,மறக்காம வந்துடுங்க
இது எனக்கு முக்கியம்பா,இது எனக்கு முக்கியம்
உன் நம்பர் என்னப்பா,உங்க போன் நம்பர் என்ன
அவரை எனக்கு முன்னாடியே தெரியும்பா,அவர எனக்கு முன்னாடியே தெரியும்
இத பண்ண எம்புட்டு நேரம் ஆகும்,இதைச் செய்ய எவ்வளவு நேரம் ஆகும்
ஒன்னும் சொல்லாதப்பா,எதுவும் சொல்லாதீங்க
எனக்கு ஒரு ஒதவி வேணும்யா,எனக்கு ஒரு உதவி வேணும்
இது நல்லா இருக்குப்பா,இது நல்லா இருக்கு
நீ சொல்றது எனக்கு விளங்கல,நீங்க சொல்றது எனக்கு புரியல
நேத்து ஏன் வரல,நேத்து ஏன் வரல
இன்னிகி வேலயா இருக்கேன்,இன்னைக்கு ரொம்ப வேலையா இருக்கேன்
எனக்கு பசி இல்லப்பா,எனக்கு பசி இல்ல
சோறு நல்லா இருக்கு,சாப்பாடு நல்லா இருக்கு
நீ என்ன நினைக்கிற,நீங்க என்ன நினைக்கிறீங்க
அங்கிட்டு என்ன இருக்கு,அங்க என்ன இருக்கு
யாரு சொன்னா இத,யார் சொன்னா இத
எனக்கு இது வேணாம்ப்பா,எனக்கு இது வேண்டாம்
எல்லாம் சரியாப்போயிரும்,எல்லாம் சரியாகிடும்
உனக்கு எந்த ஊரு,உங்க ஊர் எது
இங்க யார பாக்கணும்,இங்க யாரை பாக்கணும்
 இன்னிகி என்ன கிழமை,இன்னைக்கு என்ன நாள்
காபி குடிக்கிறியா,காபி குடிக்கிறீங்களா
ரொம்ப தூரமா போகணும்யா,ரொம்ப தூரம் போகணும்
இப்ப கெளம்புனா தான் சரியா வரும்,இப்ப கிளம்புனா தான் சரியா இருக்கும்
நீ வந்தது எனக்கு ரொம்ப சந்தோசம்பா,நீங்க வந்தது எனக்கு சந்தோஷம்
அவருக்கு உடம்பு முடியல,அவருக்கு உடம்பு சரியில்லை
மருந்து கடை எங்கட்டு இருக்கு,மருந்து கடை எங்க இருக்கு
காசை அப்பறமா குடுக்குறேன்,பணத்தை அப்பாறம் தர்றேன்
இன்னிகி மழை வருமாப்பா,இன்னைக்கு மழை வருமா
கடை சாத்தியாச்சு,கடை மூடிருச்சு
நாளைக்கு காலைல  பேசுவோம்,நாலைக்கு  காலையில பேசுவோம்
எனக்கு கொஞ்சம் பயமா இருக்குப்பா,எனக்கு கொஞ்சம் பயமா இருக்கு
நெசத்தை சொல்லுப்பா,உண்மை சொல்லுங்க
யார்கிட்டயும் சொல்லிடாத,யார்கிட்டயும் சொல்லாதீங்க
எனக்கு இது புடிச்சிருக்கு,எனக்கு இது பிடிச்சிருக்கு
நேரத்தை வீணாக்காதப்பா,நேரம் வீணாக்காதீங்க
இத எப்பாடி பண்ணனும்,இத எப்படி செய்யணும்
என்கிட்ட காசு இல்லப்பா,என்கிட்ட பணம் இல்ல
எம்புட்டு தூரம் நடக்க முடியாது,ரொம்ப தூரம் நடக்க முடியாது
எனக்கு கால் வலிக்குதுப்பா,எனக்கு கால் வலிக்குது
நிம்மதியா இருப்பா,நிம்மதியா இருங்க
யாரையும் நம்பாதப்பா,யாரையும் நம்பாதீங்க
கொஞ்சம் தண்ணி குடு,கொஞ்சம் தண்ணி கொடுங்க
சாப்பாடு ஆறிபோயிருச்சு ,சாப்பாடு ஆறிப்போச்சு
உள்ள வரலாமா,உள்ள வரலாமா
என்ன தொந்தரவு பண்ணாதப்பா,என்னை தொந்தரவு செய்யாதீங்க
நீ ஏன் சிரிக்கிற,நீங்க ஏன் சிரிக்கிறீங்க
என்கிட்ட ஒன்னும் இல்லப்பா,என்கிட்ட எதுவும் இல்ல
அவங்க என்ன சொன்னாக,அவங்க என்ன சொன்னாங்க
எனக்கு ஞாபகம் இருக்குப்பா,எனக்கு ஞாபகம் இருக்கு
இத இப்பவே பண்ணு,இதை இப்பவே செய்யுங்க
யாரு அங்கிட்டு நிக்கிறது,யார் அங்க நிக்கிறது
கதவை சாத்துப்பா,கதவை மூடுங்க
ஜன்னல தொறப்பா,ஜன்னலை திறங்க
பேனப் போடு,பேன் போடுங்க
லைட்டை அணைப்பா,லைட் ஆப் பண்ணுங்க
 எனக்கு தூக்கம் வருதுப்பா,எனக்கு தூக்கம் வருது
நல்லா தூங்குப்பா,நல்லா தூங்குங்க
காலையில சீக்கிரம் எந்திரிச்சிருவேன்,காலைல சீக்கிரம் எழுந்துருவேன்
உனக்கு கல்யாணம் ஆயிருச்சா,உங்களுக்கு கல்யாணம் ஆயிடுச்சா
குழந்தைங்க எப்பாடி இருக்காக,குழந்தைங்க எப்படி இருக்காங்க
பள்ளிக்கூடத்துக்கு நேரமாச்சு,ஸ்கூலுக்கு டைம் ஆச்சு
வண்டிய  விட்டுட்டேன்,பஸ்ஸை மிஸ் பண்ணிட்டேன்
ஆட்டோ வருதான்னு பாருப்பா,ஆட்டோ வருமா பாருங்க
 ரொம்ப நெரிசலா இருக்குப்பா,ரொம்ப டிராபிக்கா இருக்கு
வண்டிய நிதானமா ஓட்டுப்பா,வண்டி மெதுவா ஓட்டுங்க
ஹெல்மெட் போடுப்பா,ஹெல்மெட் போடுங்க
லைசென்ஸ் இருக்காப்பா,லைசென்ஸ் இருக்கா
அங்க பாரு போலீஸ்காரங்க நிக்கிறாக,போலீஸ் நிக்கிறாங்க பாருங்க
இது பாக்க நல்லா இல்லப்பா,இத பார்த்தா நல்லா இல்ல
உனக்கு புடிச்சிருக்கா,உங்களுக்கு பிடிச்சிருக்கா
வேற மாடல் காட்டுப்பா,வேற மாடல் காட்டுங்க
விலையை கொஞ்சம் குறைச்சுக்கோயேன்,விலை கொஞ்சம் குறைங்க
பில் குடுப்பா,பில் குடுங்க
கார்டு தேய்க்கலாமா,கார்டு தேய்க்க முடியுமா
ஆன்லைன்ல காசு போடுறேன்,ஆன்லைன்ல பே பண்றேன்
பாஸ்வேர்ட் தப்பா இருக்குப்பா,பாஸ்வேர்ட் தப்பா இருக்கு
நெட் கெடைக்கல,நெட் கிடைக்கல
வீடியோ கால் பண்ணுப்பா,வீடியோ கால் பண்ணுங்க
சத்தம் அதிகமா இருக்குப்பா,சத்தம் அதிகமா இருக்கு
மெதுவாப் பேசுங்கப்பா,குறைச்சு பேசுங்க
யாராவது இருக்காகளா,யாராவது இருக்காங்களா
யாரு வேணும் உனக்கு,யார் வேணும் உங்களுக்கு
அவரு இங்கட்டு இல்லப்பா,அவர் இங்க இல்ல
வெளில போயிருக்காக,வெளிய போயிருக்காங்க
எப்போ வருவாகன்னு தெரியலையே,எப்ப வருவாங்கனு தெரியல
போன் போட்டு கேளுப்பா,கால் பண்ணி கேளுங்க
நான் காத்துட்டு இருக்கேன்யா,நான் வெயிட் பண்றேன்
எனக்கு வேலையிருக்குப்பா,எனக்கு வேலை இருக்கு
உன்னைப் பாத்ததுல ரொம்ப சந்தோசம்பா,உங்களை பார்த்ததுல சந்தோஷம்
மறுக்கா பாப்போம் ,மறுபடியும் சந்திப்போம்
பத்திரமாப் பாத்து போயிட்டு வாயேன்,பத்திரம் பாத்து போங்க
எனக்கு கோவம் வருதுப்பா,எனக்கு கோவம் வருது
அழாதப்பா,அழாதீங்க
சிரிச்சுக்கிட்டே இருய்யா,சிரிச்சுக்கிட்டே இருங்க
வாழ்க்கை சின்னதுப்பா,வாழ்க்கை ரொம்ப சின்னது
நல்லதையே நெனப்போம்,நல்லதே நினைங்க
நிச்சயமா நடக்கும் ,கண்டிப்பா நடக்கும்
ஏம்பா வருத்தப்படுற,ஏன் கவலைப்படுறீங்க
நான் இருக்கேன்ல பாத்துக்கலாம்,நான் கூட இருக்கேன்
பயப்படாதப்பா தேவையில்லை,பயப்பட தேவையில்லை
இது சாதாரண விசயம்பா,இது சாதாரண விஷயம் தான்
பெரிய பஞ்சாயத்தா ஆக்காதப்பா,பெரிய பிரச்சனையா ஆக்காதீங்க
நீ பண்ணது தப்பாப்பா,நீங்க செஞ்சது தப்பா
மன்னிப்பா கேட்டுக்கப்பா,மன்னிப்பா கேளுங்க
பரவால்ல விடுங்கய்யா,பரவால்ல விடுங்க
அடுத்த வாட்டி பாத்துக்கலாம் விடு,அடுத்த தடவை பாத்துக்கலாம்
என்னால நம்பவே முடியலப்பா,என்னால நம்ப முடியல
ஆச்சரியமா இருக்குது,ஆச்சரியமா இருக்கு
திகைப்பா இருக்குதுப்பா,அதிர்ச்சியா இருக்கு
யாரும் வரலப்பா,யாரும் வரல
எல்லாரும் போயிட்டாக,எல்லாரும் போயிட்டாங்க
நான் மட்டும் தான் இங்கிட்டு இருக்கேன்,நான் மட்டும் தான் இருக்கேன்
எனக்கு ஒரு மாதிரி  இருக்கு,எனக்கு போர் அடிக்குது
ஏதாச்சும் பாட்டு போடுப்பா,எதாவது பாட்டு போடுங்க
சினிமாவுக்குப் போவோமா,சினிமாவுக்கு போலாமா
சீட்டு  கெடைக்குமாப்பா,டிக்கெட் கிடைக்குமா
நல்ல படந்தான்யா,நல்ல படம் தான்
எனக்கு காமெடி தான் ரொம்பப் புடிக்கும்,எனக்கு காமெடி பிடிக்கும்
ரொம்ப நேரமா காத்துட்டு இருக்கேன்யா,ரொம்ப நேரமா வெயிட் பண்றேன்
இன்னும் எம்புட்டு நேரம் ஆகும்,இன்னும் எவ்ளோ நேரம் ஆகும்
போன் அணைஞ்சு போச்சுப்பா ,போன் ஸ்விட்ச் ஆப் ஆயிடுச்சு
சார்ஜர் எங்கட்டு இருக்கு,சார்ஜர் எங்க இருக்கு
பவர் பேங்க் இருக்காப்பா,பவர் பேங்க் இருக்கா
ஹெட்போன் குடுப்பா,ஹெட்போன் குடுங்க
பாட்டுக் கேக்கணும்ப்பா,பாட்டு கேக்கணும்
சத்தம் இம்புட்டு அதிகமா இருக்கு,ரொம்ப சத்தமா இருக்கு
காதே கேக்கலப்பா,காதே கேக்கல
கொஞ்சம் மெதுவாப் பேசுப்பா,கொஞ்சம் மெதுவா பேசுங்க
மத்தவக பாக்குறாக பாரு,மத்தவங்க பாக்குறாங்க
வெக்கமா இருக்குப்பா,வெட்கமா இருக்கு
அசிங்கமாப் பேசாதப்பா,அசிங்கமா பேசாதீங்க
நல்ல வார்த்தையாப் பேசுங்கய்யா,நல்ல வார்த்தை பேசுங்க
பெரியவகளுக்கு மரியாதை குடுப்பா,பெரியவங்களுக்கு மரியாதை குடுங்க
அவக சொல்றதக் கேளுப்பா,அவங்க சொல்றத கேளுங்க
அனுபவம் தான் முக்கியம்,அனுபவம் முக்கியம்
படிப்பா மட்டும் போதாதுப்பா,படிப்பா மட்டும் போதாது
நல்ல வேலை கெடைக்குமாப்பா,நல்ல வேலை கிடைக்குமா
முயற்சி பண்ணுப்பா,முயற்சி செய்யுங்க
தோத்துப்போயிடாதப்பா,தோத்து போகாதீங்க
ஜெயிச்சுக் காட்டுப்பா,ஜெயிச்சு காட்டுங்க
எனக்கு நம்பிக்கை இருக்குயா,எனக்கு நம்பிக்கை இருக்கு
உன்னால முடியும் ,உங்களால முடியும்
தைரியமா இருப்பா,தைரியமா இருங்க
எல்லாம் மாறிரும் ,எல்லாம் மாறிடும்
பழைய கதையப் பேசாதப்பா,பழைய கதையை பேசாதீங்க
புதுசா ஏதாச்சும் பண்ணுப்பா,புதுசா எதாவது செய்யுங்க
எனக்கு ஒரு ஒதவி வேணும்யா,எனக்கு உதவி தேவை
யாரு பண்ணுவாக,யார் பண்ணுவாங்க
நண்பர்கள் இருக்காக,நண்பர்கள் இருக்காங்க
குடும்பம் தான் முக்கியம்ப்பா,குடும்பம் தான் முக்கியம்
ஆத்தாவப்  பாக்கணும்,அம்மாவை பாக்கணும்
அய்யாகிட்ட கேளுப்பா,அப்பா கிட்ட கேளுங்க
தம்பி என்ன பண்றான்,தம்பி என்ன பண்றான்
தங்கச்சி படிச்சுக்கிட்டு இருக்கா,தங்கை படிச்சிட்டு இருக்கா
வீடு எங்கட்டு இருக்கு,வீடு எங்க இருக்கு
வாடகை எம்புட்டு,வாடகை எவ்ளோ
சொந்த வீடாப்பா,சொந்த வீடா
வசதியா இருக்கா,வசதியா இருக்கீங்க
தண்ணி வசதி எப்பாடி,தண்ணி வசதி எப்படி
கரண்டு போயிருச்சுப்பா,கரண்ட் கட் ஆயிடுச்சு
இன்வெர்ட்டர் இருக்கா,இன்வெர்ட்டர் இருக்கா
வெயிலு தாங்க முடியலப்பா,வெயில் தாங்க முடியல
ஏசியப் போடுப்பா,ஏசி போடுங்க
 ஜலதோசம் புடிச்சிருக்கு,ஜலதோஷம் புடிச்சிருக்கு
தும்மல் வருதுப்பா,தும்மல் வருது
காய்ச்சல் அடிக்குது,காய்ச்சல் அடிக்குது
டாக்டரப் பாக்கணும்ப்பா,டாக்டரை பாக்கணும்
ஊசி போடுவாகளா,ஊசி போடுவாங்களா
மாத்திரை  சாப்பிட்டேன்,மாத்திரை சாப்பிட்டேன்
இப்ப பரவால்லப்பா,இப்ப பரவால்ல
உடம்பைப் பாத்துக்கோப்பா,உடம்பை பாத்துக்கோங்க
நல்லாச் சாப்டுப்பா,நல்லா சாப்பிடுங்க
வெளில சாப்பாடாதப்பா,வெளிய சாப்பிடாதீங்க
வீட்டு சாப்பாடு நல்லது,வீட்டு சாப்பாடு தான் நல்லது
சுத்தமா இருப்பா,சுத்தமா இருங்க
கை கழுவுப்பா,கை கழுவுங்க
முகக்கவசம் போடுப்பா,முகக்கவசம் போடுங்க
கூட்டமா  இருக்காதீங்கபா,கூட்டமா இருக்காதீங்க
எட்ட நில்லுப்பா,தூரமா நில்லுங்க
முறைச்சுப் பாக்காதப்பா,முறைச்சு பாக்காதீங்க
என்னத்துக்கு முறைக்கிற,என்ன முறைக்கிற
சண்டைக்கு வராதப்பா,சண்டைக்கு வராதே
அடிதடி வேணாம் ,அடிதடி வேணாம்
போலீஸ் ஸ்டேசன் போவோம்,போலீஸ் ஸ்டேஷன் போவோம்
கேசு  போடட்டுமா,வழக்கு போடட்டுமா
வேணாம் விடுங்கய்யா,வேணாம் விட்டுடுங்க
சமாதானமாப் போவோம்,சமாதானமா போவோம்
நீங்க நல்லவருப்பா,நீங்க நல்லவர்
எனக்கு உன்னைப் புடிக்கும்பா,எனக்கு உங்களை பிடிக்கும்
நண்பனா இருப்போம் ,நண்பனா இருப்போம்
துரோகம் பண்ணாதப்பா,துரோகம் பண்ணாதீங்க
நம்பிக்கைதான் வாழ்க்கைப்பா,நம்பிக்கை தான் வாழ்க்கை
